,Config,Accuracy,Error,Precision,Recall,F1
0,decisionTree_criterio=gini_max_depth=None_max_features=None_max_leaf_nodes=None,0.7902097902097902,0.2097902097902098,0.7166666666666667,0.7678571428571429,0.7413793103448276
1,decisionTree_criterio=gini_max_depth=None_max_features=None_max_leaf_nodes=None,0.7762237762237763,0.22377622377622367,0.7068965517241379,0.7321428571428571,0.719298245614035
2,decisionTree_criterio=gini_max_depth=None_max_features=None_max_leaf_nodes=None,0.7762237762237763,0.22377622377622367,0.6935483870967742,0.7678571428571429,0.7288135593220338
3,decisionTree_criterio=gini_max_depth=None_max_features=None_max_leaf_nodes=None,0.7902097902097902,0.2097902097902098,0.7321428571428571,0.7321428571428571,0.7321428571428571
4,bayesPrediction,0.7762237762237763,0.22377622377622367,0.6875,0.7857142857142857,0.7333333333333334
5,SVM_kernel=linear,0.8181818181818182,0.18181818181818185,0.7884615384615384,0.7321428571428571,0.7592592592592592
6,decisionTree_criterio=gini_max_depth=None_max_features=None_max_leaf_nodes=None,0.7622377622377622,0.23776223776223776,0.6774193548387096,0.75,0.7118644067796611
7,bayesPrediction,0.7482517482517482,0.2517482517482518,0.65625,0.75,0.7
8,SVM_kernel=linear,0.8181818181818182,0.18181818181818185,0.7884615384615384,0.7321428571428571,0.7592592592592592
9,SVM_kernel=linear,0.8181818181818182,0.18181818181818185,0.7884615384615384,0.7321428571428571,0.7592592592592592
10,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
11,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
12,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
13,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
14,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
15,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
16,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
17,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
18,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
19,SVM_kernel=linear,0.8181818181818182,0.18181818181818185,0.7884615384615384,0.7321428571428571,0.7592592592592592
20,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
21,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
22,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
23,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
24,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
25,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
26,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
27,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
28,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
29,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
30,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
31,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
32,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
33,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
34,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
35,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
36,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
37,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
38,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
39,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
40,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
41,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
42,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
43,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
44,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
45,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
46,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
47,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
48,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
49,bayesPrediction,0.6853146853146853,0.3146853146853147,0.5647058823529412,0.8571428571428571,0.6808510638297872
50,decisionTree_criterio=gini_max_depth=None_max_features=None_max_leaf_nodes=None,0.7832167832167832,0.2167832167832168,0.7118644067796609,0.75,0.7304347826086958
51,bayesPrediction,0.7552447552447552,0.2447552447552448,0.6521739130434783,0.8035714285714286,0.7200000000000001
52,SVM_kernel=linear,0.4055944055944056,0.5944055944055944,0.3956834532374101,0.9821428571428572,0.5641025641025641
53,bayesPrediction,0.7552447552447552,0.24475524475524477,0.6521739130434783,0.8035714285714286,0.7200000000000001
